,energy,valance,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
25,0.242,0.237,Ed Sheeran - Best Part Of Me (feat. YEBBA) (Live At Abbey Road)-wGyh_53ecgg.wav,83.35433468,92361,1199.493506,0.288353175,0.308766693,0.095336877,0.402830571,0.289546967,0.083837442,0.241820038,0.157249494,0.024727403,6.620179176,66.63024902,4439.590332,-8.462808609,69.45587158,4824.118164,0.008619591,2.9421134,8.656031609,0.128657073,0.111070633,0.012336685,1184.965464,774.1969959,599380.9884,1423.795469,460.474137,212036.4308,26.3227918,15.00692506,225.2077998,2220.628239,1540.273424,2372442.219,1.180549216,1.988957088,3.955950298,-0.016522772,0.090884135,0.008259926,0.049724189,0.051071193,0.002608267,9.76E-06,0.145428374,0.021149414,4.20E-05,0.059532385,0.003544105,5.562340136,2.268394378,5.145613053
26,0.465,0.302,Ellie Goulding - Flux-JcV0SvIDjAA.wav,95.703125,116083,1275.637363,0.266225725,0.294642091,0.086813956,0.400651395,0.279858559,0.078320816,0.234299986,0.168632292,0.02843685,10.13945007,57.20310211,3272.195068,-3.649455786,56.76405716,3222.158203,0.01334999,2.764055729,7.640004158,0.192359835,0.085930496,0.00738405,1329.799351,675.7839337,456683.9251,1453.483939,502.9549938,252963.7258,26.82308489,15.24588701,232.4370708,2667.500537,1517.812448,2303754.627,1.977611437,2.471098042,6.106325535,0.002736895,0.103122281,0.010634205,0.062280614,0.044882608,0.002014449,-1.22E-05,0.18601577,0.034601867,-4.33E-05,0.058869619,0.003465632,4.315428571,1.970733719,3.883791392
27,0.487,0.48,FLETCHER - All Love (Official Video)-DPTiFywDF8k.wav,143.5546875,181021,1283.836879,0.343830794,0.312518477,0.097667798,0.482007831,0.280653149,0.078766182,0.252670013,0.139610879,0.019491198,6.345089436,68.41039276,4679.981934,-2.490221739,55.97480774,3133.179199,0.008235353,2.819371223,7.94885397,0.146213382,0.079752982,0.006360538,1338.616749,663.5987075,440363.2446,1440.697698,451.6277242,203967.6012,25.02284328,15.51745072,240.7912768,2705.141976,1424.158879,2028228.511,1.597162378,2.027692957,4.111538727,0.002957997,0.083238647,0.006928672,0.067897927,0.053835795,0.002898293,9.53E-06,0.142929897,0.020428957,4.02E-05,0.051425539,0.002644586,8.306938776,3.4853908,12.14794903
28,0.705,0.399,Fly By Midnight - Lovely (Official Video)-z2DbjcI3BbQ.wav,161.4990234,202043,1403.076389,0.387744874,0.296477944,0.087899178,0.464567751,0.285846412,0.081708178,0.243733111,0.154685176,0.023927504,5.990841866,37.28872299,1390.44873,0.639970601,51.01811981,2602.848389,0.010569267,2.165641785,4.690003872,0.146944597,0.068387985,0.004676916,1689.342351,600.1038208,360124.5958,1870.63233,332.1413712,110317.8905,24.18754678,16.72960593,279.8797145,3755.518958,1200.356798,1440856.441,1.787052871,2.212032101,4.893086018,0.02455026,0.076125328,0.005795066,0.07300844,0.044919475,0.002017759,-3.62E-06,0.123861313,0.015341626,-5.43E-05,0.069667175,0.004853515,8.685424036,1.448048109,2.096843327
29,0.449,0.237,Gabrielle Aplin & JP Cooper - Losing Me (Official Video)-BPD84itI-x4.wav,135.9991776,167466,1456.226087,0.364190727,0.306484103,0.093932509,0.426353484,0.293049544,0.085878037,0.238223249,0.163042991,0.026583017,12.67216301,112.5352783,12664.18848,0.25356102,52.69527435,2776.791748,0.012301733,2.550644398,6.505786419,0.197502941,0.126622185,0.016033176,1608.97165,649.4176965,421743.3445,1769.446351,549.753788,302229.2274,25.33945304,16.76363745,281.0195404,3535.466122,1637.723766,2682139.134,2.062466001,2.777112549,7.71235411,0.014805659,0.091220219,0.008321128,0.071290196,0.046845408,0.002194492,2.70E-05,0.201448426,0.040581468,3.32E-05,0.077987276,0.006082016,9.321650794,3.104087405,9.635358615
30,0.5,0.14,Gavin Haley - The Way I Am (Lyrics) feat. Ella Vos-JzrcTLNCkL8.wav,99.38401442,126445,1359.623656,0.255521834,0.302596778,0.091564804,0.376065373,0.290809155,0.084569961,0.225609806,0.180093167,0.032433549,7.018463135,44.79120255,2006.251709,-7.942566872,61.10562515,3733.897461,0.012560519,2.955728769,8.73633194,0.159070835,0.071238846,0.005074973,1343.787403,733.3704246,537832.1797,1510.948061,519.0942135,269458.8025,26.50673721,15.91426196,253.2637337,2561.592844,1622.432452,2632287.063,1.5376868,1.96369731,3.856107125,0.026172104,0.103993188,0.010814583,0.057731321,0.044940633,0.00201966,1.19E-05,0.156152695,0.024383662,3.47E-06,0.049032845,0.00240422,4.465197279,1.668319404,2.783289634
31,0.376,0.165,Griff - Good Stuff (Official Video)-26mWu8cy0o0.wav,135.9991776,159660,1247.34375,0.23761934,0.297385186,0.088437945,0.416881382,0.277757496,0.077149227,0.243446241,0.155136266,0.024067261,4.130979538,33.4800148,1120.911377,-7.995804787,65.01618195,4227.104004,0.005009263,3.250555754,10.56611347,0.115797058,0.071561389,0.005121033,1327.539165,726.3036652,527517.0141,1329.13139,484.4189,234661.6706,26.37076795,14.56367416,212.1006049,2532.113855,1466.306262,2150054.055,1.150154543,1.627023255,2.647204672,0.031261579,0.091244129,0.008325491,0.066871289,0.046695698,0.002180488,-2.39E-07,0.108152486,0.011696961,-7.26E-06,0.05673841,0.003219247,3.484154195,1.705955309,2.910283515
32,0.388,0.188,Hailee Steinfeld - Wrong Direction-ncV1TlNl9B8.wav,117.4538352,138291,1245.864865,0.370415688,0.297256827,0.088361613,0.511806011,0.266708195,0.071133263,0.253858506,0.137437958,0.018889192,2.581423044,17.06371307,291.1702881,-5.574856758,74.71647644,5582.552246,0.01401866,2.429511547,5.902526855,0.083465621,0.065179296,0.004248341,1325.188784,871.7922678,760021.7582,1306.747255,594.0174316,352856.7091,24.64823083,14.72722007,216.8910111,2536.134664,1716.423292,2946108.919,0.955649661,1.465601122,2.14798665,0.000475767,0.091418472,0.008357337,0.08294262,0.076254927,0.005814814,-1.56E-05,0.087076686,0.007582349,-5.26E-05,0.035142682,0.001235008,4.228353741,2.157518669,4.654886807
33,0.55,0.123,Halsey - Finally _ beautiful stranger-ONS51QzCh1Y.wav,135.9991776,165468,1282.697674,0.326371372,0.299663156,0.089798003,0.446993023,0.277871996,0.077212848,0.240912152,0.159042977,0.025294669,6.391554832,45.09087753,2033.187134,-3.620345831,61.90701294,3832.478271,0.012657052,2.412907839,5.822124004,0.147941947,0.079310812,0.006290205,1302.790449,572.6822447,327964.9534,1510.996948,431.9787095,186605.6054,26.25054589,15.70896756,246.7716618,2745.725064,1355.051823,1836165.444,1.574449864,2.025994579,4.104654033,0.018325398,0.086971283,0.007564004,0.058286874,0.033901077,0.001149283,6.28E-06,0.14972949,0.022418922,9.45E-06,0.042623751,0.001816784,3.067356009,2.320426427,5.384378802
34,0.771,0.569,Harry Styles - Adore You (Official Video)-VF-r5TtlT9w.wav,99.38401442,120145,1251.510417,0.366843849,0.295779645,0.087485597,0.479744643,0.271138936,0.073516317,0.256498003,0.132446622,0.017542108,11.97174358,107.3612137,11526.43066,4.547433853,43.14356613,1861.367188,0.013058159,2.680582523,7.185522079,0.214425474,0.088750333,0.007876622,1968.314732,682.2137631,465415.6185,2016.989139,389.5453271,151745.5619,25.14778022,18.542281,343.8161848,4433.852356,1420.284161,2017207.098,2.59451738,3.025002591,9.150640678,0.020531412,0.066176457,0.004379323,0.093048757,0.05421845,0.00293964,-2.28E-06,0.157801121,0.024901194,-7.25E-05,0.114735864,0.013164319,2.926875283,1.479777578,2.18974168
35,0.267,0.0592,Harry Styles - Falling (Official Video)-olGSAVOkkTI.wav,112.3471467,132150,1334.848485,0.274438918,0.293870836,0.086360067,0.429655313,0.281030715,0.078978263,0.235748396,0.166601402,0.027756027,4.881124496,40.39448547,1631.7146,-9.134130478,74.31005859,5521.985352,0.0123275,2.265934944,5.134460926,0.12387234,0.077139199,0.005950456,879.5337318,616.2462561,379759.4481,983.9936718,539.2158531,290753.7363,25.91953234,13.21963731,174.7588105,1572.523824,1287.869175,1658607.012,1.123430396,1.547496056,2.394744042,0.014916188,0.100813841,0.010163431,0.045019758,0.039881281,0.001590517,5.54E-06,0.131264105,0.017230267,2.07E-05,0.036151689,0.001306945,8.803845805,3.050100582,9.303113561
36,0.733,0.797,James Arthur & Ty Dolla $ign feat. Shotty Horroh - Treehouse-4t6HrjG1fMk.wav,151.9990809,194757,1281.296053,0.346594065,0.31201005,0.09735027,0.441618353,0.299534887,0.089721143,0.240851435,0.15913491,0.02532392,18.575243,167.3902435,28019.49219,1.640385985,47.03583145,2212.369385,0.006753457,2.789217949,7.779736996,0.250949532,0.130953655,0.01714886,1541.2534,589.884601,347963.8425,1766.609364,479.9267521,230329.6874,25.68339521,16.72917051,279.8651459,3451.758294,1464.40555,2144483.614,2.707823158,3.483307201,12.13342906,-0.013137677,0.086298776,0.007447479,0.065274927,0.041382832,0.001712539,-1.82E-05,0.202507302,0.041009206,-4.80E-05,0.144985184,0.021020703,5.060789116,2.611625368,6.820587061
37,0.444,0.295,James Arthur - Falling like the Stars (Lyrics)-tU4YzeUqZUs.wav,151.9990809,186669,1278.554795,0.265551656,0.298182219,0.088912636,0.370244771,0.289977163,0.084086753,0.220799375,0.184916122,0.034193972,2.892860174,17.06757545,291.3021545,-5.636425972,75.13185883,5644.795898,0.011288024,2.286041975,5.225987911,0.101952992,0.044681069,0.001996398,869.3255877,494.0975584,244132.3972,1213.15577,446.005759,198921.1371,26.82266479,14.73508176,217.1226345,1588.827893,1267.338705,1606147.392,0.938248793,1.219356623,1.486830574,-0.033843081,0.097566913,0.009519302,0.03769365,0.025454995,0.000647957,3.84E-06,0.09870977,0.009743619,-5.68E-05,0.029503323,0.000870446,4.112253968,1.672673411,2.797836341
38,0.661,0.737,James Arthur - Finally Feel Good (Official Audio)-XjMAHbXCLtQ.wav,78.30255682,97195,1262.272727,0.365514547,0.308698952,0.095295034,0.511301577,0.273879737,0.075010106,0.261843521,0.121537253,0.014771304,20.82769966,140.0216827,19606.07031,2.781803608,54.51394272,2971.77002,0.010102925,3.506133318,12.29297161,0.26520136,0.139344066,0.01941677,1205.629508,644.8994212,415895.2634,1496.598284,581.9416128,338656.0408,24.89221654,15.83512245,250.751103,2569.746961,1646.849385,2712112.895,2.86223286,3.84139106,14.75628527,-0.004445511,0.066894822,0.004474917,0.055697131,0.039462665,0.001557302,0.000157329,0.191092104,0.03651619,1.10E-05,0.169184923,0.028623536,4.637024943,2.401442914,5.766928071
