,energy,valance,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
11,0.604,0.651,BIG PLANS - Why Don't We [Official Music Video]-EWguUJtesrs.wav,151.9990809,192090,1289.194631,0.386984706,0.31066224,0.096511029,0.427941591,0.301638395,0.090985715,0.236990952,0.16482907,0.027168622,17.09237671,155.0993042,24055.79492,2.607942104,47.78600693,2283.502441,0.012943038,3.439851999,11.83258152,0.240033984,0.130620956,0.017061835,1733.119961,791.5955537,626623.5207,1898.038871,471.9138648,222702.6958,25.57095174,16.99248294,288.7444766,3848.151731,1666.412532,2776930.726,2.438766556,3.187752398,10.16176535,-0.007384476,0.091276482,0.008331396,0.068516215,0.050305273,0.002530621,2.96E-05,0.208735034,0.043570317,-5.11E-05,0.137988955,0.019040953,2.738793651,1.323180411,1.7508064
12,0.775,0.247,Blake Rose - Best of Me (Official Audio)-HBH8a39HgUc.wav,92.28515625,115862,1273.208791,0.430612773,0.302268088,0.091365993,0.574600279,0.26083979,0.068037398,0.269978237,0.102201198,0.010445085,18.3174839,164.694458,27124.26563,4.765657425,46.96518326,2205.728271,0.011863435,2.292947292,5.25760746,0.257259637,0.11687091,0.01365881,1565.083994,705.2733807,497410.5416,1723.348006,490.1709857,240267.5953,25.28593562,17.23618714,297.086147,3431.750082,1507.097697,2271343.467,2.808542353,3.379074618,11.41814527,0.015179244,0.055709259,0.003103522,0.068198,0.049346077,0.002435035,-1.47E-06,0.206175208,0.042508215,-8.64E-06,0.118756086,0.014103008,3.751183673,2.035907761,4.144920411
13,0.385,0.0385,Colors-zmOONagpEBU.wav,99.38401442,112364,1337.666667,0.350203574,0.28975603,0.083958551,0.518415153,0.261866599,0.068574108,0.262216976,0.120729412,0.014575591,13.28848839,91.34997559,8344.817383,2.285907507,47.16033554,2224.097168,0.013170281,2.289844751,5.24338913,0.224855542,0.104801297,0.010983313,1864.968293,639.75667,409288.5968,1744.245784,392.2009182,153821.5602,24.98164808,17.83365901,318.0393935,3796.43121,1371.819069,1881887.559,3.158559371,3.787692292,14.3466129,-0.021882823,0.063501275,0.004032412,0.103093103,0.052416924,0.002747534,-1.51E-05,0.186314195,0.034712981,1.20E-06,0.100660495,0.010132535,7.857632653,1.525241743,2.326362375
14,0.529,0.438,David Guetta - Let It Be Me (Lyrics) ft. Ava Max-Y-Wqna-hC2Y.wav,103.359375,122831,1253.377551,0.351040602,0.326754272,0.106768362,0.411151201,0.305397898,0.09326788,0.238160061,0.163135277,0.026613119,14.62559128,133.6105499,17851.77734,0.196430743,49.47758102,2448.031006,0.009846572,3.420756102,11.70157242,0.22901924,0.10785003,0.011631629,1708.324813,617.5022336,381309.0085,1760.454207,343.2918465,117849.2919,26.24357589,16.58114702,274.9344365,3772.931352,1206.307523,1455177.839,2.218178281,2.789538692,7.781526116,-0.005914725,0.100104585,0.010020928,0.073565882,0.059256506,0.003511334,2.63E-06,0.211433962,0.044704318,-3.98E-05,0.099260822,0.00985271,2.625015873,1.23611042,1.527968971
15,0.562,0.561,Deepend - Only Love (Official Lyric Video)-Ap1QRjqN2Og.wav,107.6660156,138497,1331.701923,0.356384635,0.311759293,0.09719386,0.451063633,0.294737011,0.086869903,0.24938908,0.145390579,0.02113842,17.02741241,171.7468567,29496.98047,0.458761424,50.80780029,2581.432617,0.009271232,3.010478735,9.062981606,0.239496574,0.126993403,0.016127324,1515.760472,786.5953244,618732.2044,1748.881043,460.7189647,212261.9644,26.01899766,15.96480427,254.8749753,3335.217332,1635.882766,2676112.424,2.324003286,2.991061685,8.946450004,-0.006366632,0.085857171,0.007371454,0.0621627,0.053931664,0.002908624,-7.43E-06,0.206371248,0.042589091,-1.71E-06,0.129063651,0.016657427,4.249251701,1.106644622,1.22466232
16,0.561,0.713,Demi Lovato - I Love Me-vImvzQCb0o8.wav,151.9990809,180816,1247.006897,0.348090678,0.31547305,0.099523254,0.480257809,0.296626031,0.087986998,0.260584983,0.12421272,0.0154288,7.195942879,81.51994324,6645.501465,-8.524209976,54.97677612,3022.445801,0.011772957,4.085776806,16.69357109,0.147291407,0.1048446,0.01099239,1958.1679,887.4127595,787501.4058,1705.109149,500.4553818,250455.5892,25.60079477,17.34246862,300.7612179,3790.831244,1591.772469,2533739.594,1.704569089,2.557169825,6.539117511,-0.009355635,0.086783809,0.007531429,0.115630442,0.087709777,0.007693005,1.45E-05,0.146353826,0.021419443,1.51E-05,0.079287015,0.006286431,3.827809524,1.908424256,3.642083142
17,0.793,0.677,Dua Lipa - Don't Start Now (Official Music Video)-oygrmJFKYZY.wav,123.046875,153823,1337.591304,0.404432148,0.31116426,0.096823201,0.495801181,0.27993986,0.078366324,0.25609312,0.13274279,0.017620648,13.11775303,129.197113,16691.89453,2.500016212,49.94999695,2495.002197,0.006750125,4.00368166,16.02946663,0.205259949,0.124725349,0.015556412,1738.827665,733.7271998,538355.6038,1843.284153,495.6612082,245680.0333,25.15899777,17.84071223,318.2910129,3789.006255,1629.572773,2655507.422,2.298855407,3.054882171,9.33230508,0.006828493,0.073112225,0.005345397,0.081565833,0.054283158,0.002946661,1.30E-05,0.152544275,0.023269756,-2.85E-05,0.132064894,0.017441137,8.428843537,3.572961798,12.76605601
18,0.688,0.812,Ed Sheeran & Justin Bieber - I Don't Care [Official Video]-y83x7MgzWOA.wav,135.9991776,165193,1270.715385,0.350785553,0.311868936,0.097262241,0.44162941,0.293988496,0.086429231,0.241650252,0.157919248,0.024938489,15.47523499,145.0924225,21051.81055,-1.804784894,47.68070221,2273.449463,0.019713175,4.533862591,20.5559082,0.227800354,0.129875183,0.016867563,2014.615706,696.912784,485687.4285,1918.043141,321.0380195,103065.41,25.96922014,17.799762,316.8315272,4214.645348,1329.294318,1767023.383,2.35106507,3.218780492,10.36054786,-0.00896363,0.068727963,0.004723533,0.090616421,0.064004652,0.004096596,2.35E-05,0.158086538,0.024991352,-4.34E-05,0.173523769,0.030110497,2.366113379,1.301827953,1.69475602
19,0.537,0.453,Ella Henderson - Friends (Lyrics)-K32pwTuwmqQ.wav,95.703125,122749,1278.635417,0.323172778,0.305110157,0.093092203,0.45110774,0.291016161,0.084690399,0.246596682,0.150078013,0.02252341,11.90735626,112.451088,12645.24707,-1.896505833,53.82778549,2897.43042,0.012493346,3.403705835,11.58521271,0.19567509,0.116243675,0.013512592,1392.191452,585.0719149,342309.1456,1481.411229,425.3715776,180940.979,26.1030536,15.06633805,226.9945421,2939.419726,1307.267396,1708948.044,2.096098469,2.861075286,8.185751794,0.003782546,0.087608728,0.007675289,0.063607514,0.040862264,0.001669725,2.13E-06,0.183178663,0.033554424,7.28E-06,0.095492773,0.009118869,4.662566893,2.51552176,6.327849725
20,0.54,0.642,Ella Henderson - Glorious (Official Visualiser)-YoKewGsPOWk.wav,107.6660156,136991,1343.04902,0.354739219,0.307663679,0.094656944,0.459106624,0.294123054,0.086508371,0.253272492,0.138514901,0.019186378,8.823484421,105.4640198,11122.66016,-6.178160667,55.64936829,3096.852295,0.004401309,3.599307775,12.95501614,0.155256346,0.127370983,0.016223367,1939.492911,945.7489138,894441.008,1710.577377,488.5097377,238641.7638,25.33557972,15.80868326,249.9144663,3822.976883,1622.273414,2631771.029,1.698295032,2.70319393,7.307257423,-0.013621044,0.087411207,0.007640719,0.113654831,0.091478398,0.008368297,2.01E-06,0.149243787,0.022273708,-6.83E-05,0.102295898,0.010464451,5.858394558,1.701011848,2.893441308
